[FPGA sim] port=12347  pass +fpga_id=N to tag output
[FPGA3] RX #5      data=0x04000004 (len=4 B)
[FPGA3] TX #5.0  data=0x03000000
[FPGA3] TX #5.1  data=0x03000001
[FPGA3] TX #5.2  data=0x03000002
[FPGA3] RX #5      data=0x04000005 (len=4 B)
[FPGA3] TX #5.3  data=0x03000003
[FPGA3] RX #5      data=0x04000006 (len=4 B)
[FPGA3] TX #5.4  data=0x03000004
[FPGA3] RX #5      data=0x04000007 (len=4 B)
[FPGA3] TX #5.5  data=0x03000005
[FPGA3] RX #5      data=0x02000007 (len=4 B)
[FPGA3] TX #5.6  data=0x03000006
[FPGA3] RX #5      data=0x02000000 (len=4 B)
[FPGA3] TX #5.7  data=0x03000007
[FPGA3] RX #6      data=0x02000001 (len=4 B)
[FPGA3] RX #6      data=0x02000002 (len=4 B)
[FPGA3] RX #6      data=0x02000003 (len=4 B)
[FPGA3] RX #6      data=0x01000000 (len=4 B)
[FPGA3] RX #6      data=0x01000001 (len=4 B)
[FPGA3] RX #6      data=0x01000002 (len=4 B)
[FPGA3] RX #6      data=0x01000003 (len=4 B)
[FPGA3] RX #6      data=0x01000004 (len=4 B)
[FPGA3] RX #6      data=0x01000005 (len=4 B)
[FPGA3] RX #6      data=0x01000006 (len=4 B)
[FPGA3] RX #6      data=0x04000000 (len=4 B)
[FPGA3] TX #6.0  data=0x03000000
[FPGA3] TX #6.1  data=0x03000001
[FPGA3] TX #6.2  data=0x03000002
[FPGA3] TX #6.3  data=0x03000003
[FPGA3] RX #6      data=0x04000001 (len=4 B)
[FPGA3] TX #6.4  data=0x03000004
[FPGA3] RX #6      data=0x04000002 (len=4 B)
[FPGA3] TX #6.5  data=0x03000005
[FPGA3] RX #6      data=0x04000003 (len=4 B)
[FPGA3] TX #6.6  data=0x03000006
[FPGA3] RX #6      data=0x04000004 (len=4 B)
[FPGA3] TX #6.7  data=0x03000007
[FPGA3] RX #7      data=0x04000005 (len=4 B)
[FPGA3] RX #7      data=0x04000006 (len=4 B)
[FPGA3] RX #7      data=0x04000007 (len=4 B)
[FPGA3] RX #7      data=0x02000004 (len=4 B)
[FPGA3] RX #7      data=0x02000005 (len=4 B)
[FPGA3] RX #7      data=0x02000006 (len=4 B)
[FPGA3] RX #7      data=0x02000007 (len=4 B)
[FPGA3] RX #7      data=0x02000000 (len=4 B)
[FPGA3] RX #7      data=0x02000001 (len=4 B)
[FPGA3] RX #7      data=0x02000002 (len=4 B)
[FPGA3] RX #7      data=0x02000003 (len=4 B)
[FPGA3] RX #7      data=0x02000004 (len=4 B)
[FPGA3] TX #7.0  data=0x03000000
[FPGA3] TX #7.1  data=0x03000001
[FPGA3] TX #7.2  data=0x03000002
[FPGA3] TX #7.3  data=0x03000003
[FPGA3] RX #7      data=0x01000007 (len=4 B)
[FPGA3] TX #7.4  data=0x03000004
[FPGA3] RX #7      data=0x01000000 (len=4 B)
[FPGA3] TX #7.5  data=0x03000005
[FPGA3] RX #7      data=0x01000001 (len=4 B)
[FPGA3] TX #7.6  data=0x03000006
[FPGA3] RX #7      data=0x01000002 (len=4 B)
[FPGA3] TX #7.7  data=0x03000007
[FPGA3] RX #8      data=0x01000003 (len=4 B)
[FPGA3] RX #8      data=0x04000000 (len=4 B)
[FPGA3] RX #8      data=0x04000001 (len=4 B)
[FPGA3] RX #8      data=0x04000002 (len=4 B)
[FPGA3] RX #8      data=0x04000003 (len=4 B)
[FPGA3] RX #8      data=0x04000004 (len=4 B)
[FPGA3] RX #8      data=0x04000005 (len=4 B)
[FPGA3] RX #8      data=0x04000006 (len=4 B)
[FPGA3] RX #8      data=0x04000007 (len=4 B)
[FPGA3] RX #8      data=0x02000005 (len=4 B)
[FPGA3] RX #8      data=0x02000006 (len=4 B)
[FPGA3] RX #8      data=0x02000007 (len=4 B)
[FPGA3] TX #8.0  data=0x03000000
[FPGA3] TX #8.1  data=0x03000001
[FPGA3] TX #8.2  data=0x03000002
[FPGA3] TX #8.3  data=0x03000003
[FPGA3] RX #8      data=0x02000000 (len=4 B)
[FPGA3] TX #8.4  data=0x03000004
[FPGA3] RX #8      data=0x02000001 (len=4 B)
[FPGA3] TX #8.5  data=0x03000005
[FPGA3] RX #8      data=0x02000002 (len=4 B)
[FPGA3] TX #8.6  data=0x03000006
[FPGA3] RX #8      data=0x02000003 (len=4 B)
[FPGA3] TX #8.7  data=0x03000007
[FPGA3] RX #9      data=0x01000004 (len=4 B)
[FPGA3] RX #9      data=0x01000005 (len=4 B)
[FPGA3] RX #9      data=0x01000006 (len=4 B)
[FPGA3] RX #9      data=0x01000007 (len=4 B)
[FPGA3] RX #9      data=0x01000000 (len=4 B)
[FPGA3] RX #9      data=0x01000001 (len=4 B)
[FPGA3] RX #9      data=0x01000002 (len=4 B)
[FPGA3] RX #9      data=0x01000003 (len=4 B)
[FPGA3] RX #9      data=0x01000004 (len=4 B)
[FPGA3] RX #9      data=0x01000005 (len=4 B)
[FPGA3] RX #9      data=0x01000006 (len=4 B)
[FPGA3] RX #9      data=0x01000007 (len=4 B)
[FPGA3] TX #9.0  data=0x03000000
[FPGA3] TX #9.1  data=0x03000001
[FPGA3] TX #9.2  data=0x03000002
[FPGA3] TX #9.3  data=0x03000003
[FPGA3] RX #9      data=0x04000000 (len=4 B)
[FPGA3] TX #9.4  data=0x03000004
[FPGA3] RX #9      data=0x04000001 (len=4 B)
[FPGA3] TX #9.5  data=0x03000005
[FPGA3] RX #9      data=0x04000002 (len=4 B)
[FPGA3] TX #9.6  data=0x03000006
[FPGA3] RX #9      data=0x04000003 (len=4 B)
[FPGA3] TX #9.7  data=0x03000007
[FPGA3] RX #10      data=0x04000004 (len=4 B)
[FPGA3] RX #10      data=0x04000005 (len=4 B)
[FPGA3] RX #10      data=0x04000006 (len=4 B)
[FPGA3] RX #10      data=0x04000007 (len=4 B)
[FPGA3] RX #10      data=0x02000004 (len=4 B)
[FPGA3] RX #10      data=0x02000005 (len=4 B)
[FPGA3] RX #10      data=0x02000006 (len=4 B)
[FPGA3] RX #10      data=0x02000007 (len=4 B)
[FPGA3] RX #10      data=0x02000000 (len=4 B)
[FPGA3] RX #10      data=0x02000001 (len=4 B)
[FPGA3] RX #10      data=0x02000002 (len=4 B)
[FPGA3] TX #10.0  data=0x03000000
[FPGA3] TX #10.1  data=0x03000001
[FPGA3] TX #10.2  data=0x03000002
[FPGA3] RX #10      data=0x02000003 (len=4 B)
[FPGA3] TX #10.3  data=0x03000003
[FPGA3] RX #10      data=0x02000004 (len=4 B)
[FPGA3] TX #10.4  data=0x03000004
[FPGA3] RX #10      data=0x01000000 (len=4 B)
[FPGA3] TX #10.5  data=0x03000005
[FPGA3] RX #10      data=0x01000001 (len=4 B)
[FPGA3] TX #10.6  data=0x03000006
[FPGA3] RX #10      data=0x01000002 (len=4 B)
[FPGA3] TX #10.7  data=0x03000007
[FPGA3] RX #11      data=0x01000003 (len=4 B)
[FPGA3] RX #11      data=0x01000004 (len=4 B)
[FPGA3] RX #11      data=0x01000005 (len=4 B)
[FPGA3] RX #11      data=0x01000006 (len=4 B)
[FPGA3] RX #11      data=0x04000000 (len=4 B)
[FPGA3] RX #11      data=0x04000001 (len=4 B)
[FPGA3] RX #11      data=0x04000002 (len=4 B)
[FPGA3] RX #11      data=0x04000003 (len=4 B)
[FPGA3] RX #11      data=0x04000004 (len=4 B)
[FPGA3] RX #11      data=0x04000005 (len=4 B)
[FPGA3] RX #11      data=0x04000006 (len=4 B)
[FPGA3] TX #11.0  data=0x03000000
[FPGA3] TX #11.1  data=0x03000001
[FPGA3] TX #11.2  data=0x03000002
[FPGA3] RX #11      data=0x04000007 (len=4 B)
[FPGA3] TX #11.3  data=0x03000003
[FPGA3] RX #11      data=0x02000005 (len=4 B)
[FPGA3] TX #11.4  data=0x03000004
[FPGA3] RX #11      data=0x02000006 (len=4 B)
[FPGA3] TX #11.5  data=0x03000005
[FPGA3] RX #11      data=0x02000007 (len=4 B)
[FPGA3] TX #11.6  data=0x03000006
[FPGA3] RX #11      data=0x02000000 (len=4 B)
[FPGA3] TX #11.7  data=0x03000007
[FPGA3] RX #12      data=0x02000001 (len=4 B)
[FPGA3] RX #12      data=0x02000002 (len=4 B)
[FPGA3] RX #12      data=0x02000003 (len=4 B)
[FPGA3] RX #12      data=0x01000007 (len=4 B)
[FPGA3] RX #12      data=0x01000000 (len=4 B)
[FPGA3] RX #12      data=0x01000001 (len=4 B)
[FPGA3] RX #12      data=0x01000002 (len=4 B)
[FPGA3] RX #12      data=0x01000003 (len=4 B)
[FPGA3] RX #12      data=0x04000000 (len=4 B)
[FPGA3] RX #12      data=0x04000001 (len=4 B)
[FPGA3] RX #12      data=0x04000002 (len=4 B)
[FPGA3] TX #12.0  data=0x03000000
[FPGA3] TX #12.1  data=0x03000001
[FPGA3] TX #12.2  data=0x03000002
[FPGA3] TX #12.3  data=0x03000003
[FPGA3] RX #12      data=0x04000003 (len=4 B)
[FPGA3] TX #12.4  data=0x03000004
[FPGA3] RX #12      data=0x04000004 (len=4 B)
[FPGA3] TX #12.5  data=0x03000005
[FPGA3] RX #12      data=0x04000005 (len=4 B)
[FPGA3] TX #12.6  data=0x03000006
[FPGA3] RX #12      data=0x04000006 (len=4 B)
[FPGA3] TX #12.7  data=0x03000007
[FPGA3] RX #13      data=0x04000007 (len=4 B)
[FPGA3] RX #13      data=0x02000004 (len=4 B)
[FPGA3] RX #13      data=0x02000005 (len=4 B)
[FPGA3] RX #13      data=0x02000006 (len=4 B)
[FPGA3] RX #13      data=0x02000007 (len=4 B)
[FPGA3] RX #13      data=0x02000000 (len=4 B)
[FPGA3] RX #13      data=0x02000001 (len=4 B)
[FPGA3] RX #13      data=0x02000002 (len=4 B)
[FPGA3] RX #13      data=0x02000003 (len=4 B)
[FPGA3] RX #13      data=0x02000004 (len=4 B)
[FPGA3] RX #13      data=0x02000005 (len=4 B)
[FPGA3] RX #13      data=0x02000006 (len=4 B)
[FPGA3] TX #13.0  data=0x03000000
[FPGA3] TX #13.1  data=0x03000001
[FPGA3] TX #13.2  data=0x03000002
[FPGA3] TX #13.3  data=0x03000003
[FPGA3] RX #13      data=0x02000007 (len=4 B)
[FPGA3] TX #13.4  data=0x03000004
[FPGA3] RX #13      data=0x01000004 (len=4 B)
[FPGA3] TX #13.5  data=0x03000005
[FPGA3] RX #13      data=0x01000005 (len=4 B)
[FPGA3] TX #13.6  data=0x03000006
[FPGA3] RX #13      data=0x01000006 (len=4 B)
[FPGA3] TX #13.7  data=0x03000007
[FPGA3] RX #14      data=0x01000007 (len=4 B)
[FPGA3] RX #14      data=0x01000000 (len=4 B)
[FPGA3] RX #14      data=0x01000001 (len=4 B)
[FPGA3] RX #14      data=0x01000002 (len=4 B)
[FPGA3] RX #14      data=0x01000003 (len=4 B)
[FPGA3] RX #14      data=0x01000004 (len=4 B)
[FPGA3] RX #14      data=0x01000005 (len=4 B)
[FPGA3] RX #14      data=0x01000006 (len=4 B)
[FPGA3] RX #14      data=0x01000007 (len=4 B)
[FPGA3] RX #14      data=0x04000000 (len=4 B)
[FPGA3] RX #14      data=0x04000001 (len=4 B)
[FPGA3] RX #14      data=0x04000002 (len=4 B)
[FPGA3] TX #14.0  data=0x03000000
[FPGA3] TX #14.1  data=0x03000001
[FPGA3] TX #14.2  data=0x03000002
[FPGA3] TX #14.3  data=0x03000003
[FPGA3] RX #14      data=0x04000003 (len=4 B)
[FPGA3] TX #14.4  data=0x03000004
[FPGA3] RX #14      data=0x04000004 (len=4 B)
[FPGA3] TX #14.5  data=0x03000005
[FPGA3] RX #14      data=0x04000005 (len=4 B)
[FPGA3] TX #14.6  data=0x03000006
[FPGA3] RX #14      data=0x04000006 (len=4 B)
[FPGA3] TX #14.7  data=0x03000007
[FPGA3] RX #15      data=0x04000007 (len=4 B)
[FPGA3] RX #15      data=0x02000000 (len=4 B)
[FPGA3] RX #15      data=0x02000001 (len=4 B)
[FPGA3] RX #15      data=0x02000002 (len=4 B)
[FPGA3] RX #15      data=0x02000003 (len=4 B)
[FPGA3] RX #15      data=0x02000004 (len=4 B)
[FPGA3] RX #15      data=0x02000005 (len=4 B)
[FPGA3] RX #15      data=0x02000006 (len=4 B)
[FPGA3] RX #15      data=0x01000000 (len=4 B)
[FPGA3] RX #15      data=0x01000001 (len=4 B)
[FPGA3] RX #15      data=0x01000002 (len=4 B)
[FPGA3] RX #15      data=0x01000003 (len=4 B)
[FPGA3] TX #15.0  data=0x03000000
[FPGA3] TX #15.1  data=0x03000001
[FPGA3] TX #15.2  data=0x03000002
[FPGA3] TX #15.3  data=0x03000003
[FPGA3] RX #15      data=0x01000004 (len=4 B)
[FPGA3] TX #15.4  data=0x03000004
[FPGA3] RX #15      data=0x01000005 (len=4 B)
[FPGA3] TX #15.5  data=0x03000005
[FPGA3] RX #15      data=0x01000006 (len=4 B)
[FPGA3] TX #15.6  data=0x03000006
[FPGA3] RX #15      data=0x01000007 (len=4 B)
[FPGA3] TX #15.7  data=0x03000007
[FPGA3] RX #16      data=0x04000000 (len=4 B)
[FPGA3] RX #16      data=0x04000001 (len=4 B)
[FPGA3] RX #16      data=0x04000002 (len=4 B)
[FPGA3] RX #16      data=0x04000003 (len=4 B)
[FPGA3] RX #16      data=0x04000004 (len=4 B)
[FPGA3] RX #16      data=0x04000005 (len=4 B)
[FPGA3] RX #16      data=0x04000006 (len=4 B)
[FPGA3] RX #16      data=0x04000007 (len=4 B)
[FPGA3] RX #16      data=0x02000007 (len=4 B)
[FPGA3] RX #16      data=0x02000000 (len=4 B)
[FPGA3] RX #16      data=0x02000001 (len=4 B)
[FPGA3] RX #16      data=0x02000002 (len=4 B)
[FPGA3] TX #16.0  data=0x03000000
[FPGA3] TX #16.1  data=0x03000001
[FPGA3] TX #16.2  data=0x03000002
[FPGA3] TX #16.3  data=0x03000003
[FPGA3] RX #16      data=0x02000003 (len=4 B)
[FPGA3] TX #16.4  data=0x03000004
[FPGA3] RX #16      data=0x01000000 (len=4 B)
[FPGA3] TX #16.5  data=0x03000005
[FPGA3] RX #16      data=0x01000001 (len=4 B)
[FPGA3] TX #16.6  data=0x03000006
[FPGA3] RX #16      data=0x01000002 (len=4 B)
[FPGA3] TX #16.7  data=0x03000007
[FPGA3] RX #17      data=0x01000003 (len=4 B)
[FPGA3] RX #17      data=0x01000004 (len=4 B)
[FPGA3] RX #17      data=0x01000005 (len=4 B)
[FPGA3] RX #17      data=0x01000006 (len=4 B)
[FPGA3] RX #17      data=0x04000000 (len=4 B)
[FPGA3] RX #17      data=0x04000001 (len=4 B)
[FPGA3] RX #17      data=0x04000002 (len=4 B)
[FPGA3] RX #17      data=0x04000003 (len=4 B)
[FPGA3] RX #17      data=0x04000004 (len=4 B)
[FPGA3] RX #17      data=0x04000005 (len=4 B)
[FPGA3] RX #17      data=0x04000006 (len=4 B)
[FPGA3] TX #17.0  data=0x03000000
[FPGA3] TX #17.1  data=0x03000001
[FPGA3] TX #17.2  data=0x03000002
[FPGA3] RX #17      data=0x04000007 (len=4 B)
[FPGA3] TX #17.3  data=0x03000003
[FPGA3] RX #17      data=0x02000004 (len=4 B)
[FPGA3] TX #17.4  data=0x03000004
[FPGA3] RX #17      data=0x02000005 (len=4 B)
[FPGA3] TX #17.5  data=0x03000005
[FPGA3] RX #17      data=0x02000006 (len=4 B)
[FPGA3] TX #17.6  data=0x03000006
[FPGA3] RX #17      data=0x02000007 (len=4 B)
[FPGA3] TX #17.7  data=0x03000007
[FPGA3] RX #18      data=0x02000000 (len=4 B)
[FPGA3] RX #18      data=0x02000001 (len=4 B)
[FPGA3] RX #18      data=0x02000002 (len=4 B)
[FPGA3] RX #18      data=0x02000003 (len=4 B)
[FPGA3] RX #18      data=0x02000004 (len=4 B)
[FPGA3] RX #18      data=0x02000005 (len=4 B)
[FPGA3] RX #18      data=0x02000006 (len=4 B)
[FPGA3] RX #18      data=0x01000007 (len=4 B)
[FPGA3] RX #18      data=0x01000000 (len=4 B)
[FPGA3] RX #18      data=0x01000001 (len=4 B)
[FPGA3] RX #18      data=0x01000002 (len=4 B)
[FPGA3] TX #18.0  data=0x03000000
[FPGA3] TX #18.1  data=0x03000001
[FPGA3] TX #18.2  data=0x03000002
[FPGA3] RX #18      data=0x01000003 (len=4 B)
[FPGA3] TX #18.3  data=0x03000003
[FPGA3] RX #18      data=0x01000004 (len=4 B)
[FPGA3] TX #18.4  data=0x03000004
[FPGA3] RX #18      data=0x01000005 (len=4 B)
[FPGA3] TX #18.5  data=0x03000005
[FPGA3] RX #18      data=0x01000006 (len=4 B)
[FPGA3] TX #18.6  data=0x03000006
[FPGA3] RX #18      data=0x04000000 (len=4 B)
[FPGA3] TX #18.7  data=0x03000007
[FPGA3] RX #19      data=0x04000001 (len=4 B)
[FPGA3] RX #19      data=0x04000002 (len=4 B)
[FPGA3] RX #19      data=0x04000003 (len=4 B)
[FPGA3] RX #19      data=0x04000004 (len=4 B)
[FPGA3] RX #19      data=0x04000005 (len=4 B)
[FPGA3] RX #19      data=0x04000006 (len=4 B)
[FPGA3] RX #19      data=0x04000007 (len=4 B)
[FPGA3] RX #19      data=0x02000007 (len=4 B)
[FPGA3] RX #19      data=0x02000000 (len=4 B)
[FPGA3] RX #19      data=0x02000001 (len=4 B)
[FPGA3] RX #19      data=0x02000002 (len=4 B)
[FPGA3] TX #19.0  data=0x03000000
[FPGA3] TX #19.1  data=0x03000001
[FPGA3] TX #19.2  data=0x03000002
[FPGA3] TX #19.3  data=0x03000003
[FPGA3] RX #19      data=0x02000003 (len=4 B)
[FPGA3] TX #19.4  data=0x03000004
[FPGA3] RX #19      data=0x02000004 (len=4 B)
[FPGA3] TX #19.5  data=0x03000005
[FPGA3] RX #19      data=0x02000005 (len=4 B)
[FPGA3] TX #19.6  data=0x03000006
[FPGA3] RX #19      data=0x02000006 (len=4 B)
[FPGA3] TX #19.7  data=0x03000007
[FPGA3] RX #20      data=0x01000007 (len=4 B)
[FPGA3] RX #20      data=0x01000000 (len=4 B)
[FPGA3] RX #20      data=0x01000001 (len=4 B)
[FPGA3] RX #20      data=0x01000002 (len=4 B)
[FPGA3] RX #20      data=0x01000003 (len=4 B)
[FPGA3] RX #20      data=0x01000004 (len=4 B)
[FPGA3] RX #20      data=0x01000005 (len=4 B)
[FPGA3] RX #20      data=0x01000006 (len=4 B)
[FPGA3] RX #20      data=0x01000007 (len=4 B)
[FPGA3] RX #20      data=0x04000000 (len=4 B)
[FPGA3] RX #20      data=0x04000001 (len=4 B)
[FPGA3] RX #20      data=0x04000002 (len=4 B)
[FPGA3] TX #20.0  data=0x03000000
[FPGA3] TX #20.1  data=0x03000001
[FPGA3] TX #20.2  data=0x03000002
[FPGA3] TX #20.3  data=0x03000003
[FPGA3] RX #20      data=0x04000003 (len=4 B)
[FPGA3] TX #20.4  data=0x03000004
[FPGA3] RX #20      data=0x04000004 (len=4 B)
[FPGA3] TX #20.5  data=0x03000005
[FPGA3] RX #20      data=0x04000005 (len=4 B)
[FPGA3] TX #20.6  data=0x03000006
[FPGA3] RX #20      data=0x04000006 (len=4 B)
[FPGA3] TX #20.7  data=0x03000007
[FPGA3] RX #21      data=0x04000007 (len=4 B)
[FPGA3] RX #21      data=0x02000007 (len=4 B)
[FPGA3] RX #21      data=0x02000000 (len=4 B)
[FPGA3] RX #21      data=0x02000001 (len=4 B)
[FPGA3] RX #21      data=0x02000002 (len=4 B)
[FPGA3] RX #21      data=0x02000003 (len=4 B)
[FPGA3] RX #21      data=0x02000004 (len=4 B)
[FPGA3] RX #21      data=0x02000005 (len=4 B)
[FPGA3] RX #21      data=0x02000006 (len=4 B)
[FPGA3] RX #21      data=0x04000000 (len=4 B)
[FPGA3] RX #21      data=0x04000001 (len=4 B)
[FPGA3] RX #21      data=0x04000002 (len=4 B)
[FPGA3] TX #21.0  data=0x03000000
[FPGA3] TX #21.1  data=0x03000001
[FPGA3] TX #21.2  data=0x03000002
[FPGA3] TX #21.3  data=0x03000003
[FPGA3] RX #21      data=0x04000003 (len=4 B)
[FPGA3] TX #21.4  data=0x03000004
[FPGA3] RX #21      data=0x04000004 (len=4 B)
[FPGA3] TX #21.5  data=0x03000005
[FPGA3] RX #21      data=0x04000005 (len=4 B)
[FPGA3] TX #21.6  data=0x03000006
[FPGA3] RX #21      data=0x04000006 (len=4 B)
[FPGA3] TX #21.7  data=0x03000007
[FPGA3] RX #22      data=0x04000007 (len=4 B)
[FPGA3] RX #22      data=0x01000000 (len=4 B)
[FPGA3] RX #22      data=0x01000001 (len=4 B)
[FPGA3] RX #22      data=0x01000002 (len=4 B)
[FPGA3] RX #22      data=0x01000003 (len=4 B)
[FPGA3] RX #22      data=0x01000004 (len=4 B)
[FPGA3] RX #22      data=0x01000005 (len=4 B)
[FPGA3] RX #22      data=0x01000006 (len=4 B)
[FPGA3] RX #22      data=0x01000007 (len=4 B)
[FPGA3] RX #22      data=0x02000007 (len=4 B)
[FPGA3] RX #22      data=0x02000000 (len=4 B)
[FPGA3] RX #22      data=0x02000001 (len=4 B)
[FPGA3] TX #22.0  data=0x03000000
[FPGA3] TX #22.1  data=0x03000001
[FPGA3] TX #22.2  data=0x03000002
[FPGA3] TX #22.3  data=0x03000003
[FPGA3] RX #22      data=0x02000002 (len=4 B)
[FPGA3] TX #22.4  data=0x03000004
[FPGA3] RX #22      data=0x02000003 (len=4 B)
[FPGA3] TX #22.5  data=0x03000005
[FPGA3] RX #22      data=0x04000000 (len=4 B)
[FPGA3] TX #22.6  data=0x03000006
[FPGA3] RX #22      data=0x04000001 (len=4 B)
[FPGA3] TX #22.7  data=0x03000007
[FPGA3] RX #23      data=0x04000002 (len=4 B)
[FPGA3] RX #23      data=0x04000003 (len=4 B)
[FPGA3] RX #23      data=0x04000004 (len=4 B)
[FPGA3] RX #23      data=0x04000005 (len=4 B)
[FPGA3] RX #23      data=0x04000006 (len=4 B)
[FPGA3] RX #23      data=0x04000007 (len=4 B)
[FPGA3] RX #23      data=0x01000000 (len=4 B)
[FPGA3] RX #23      data=0x01000001 (len=4 B)
[FPGA3] RX #23      data=0x01000002 (len=4 B)
[FPGA3] RX #23      data=0x01000003 (len=4 B)
[FPGA3] RX #23      data=0x01000004 (len=4 B)
