[FPGA sim] port=12346  pass +fpga_id=N to tag output
Listening on port 12346
[FPGA2] TX #0.0  data=0x02000000
[FPGA2] TX #0.1  data=0x02000001
[FPGA2] TX #0.2  data=0x02000002
[FPGA2] TX #0.3  data=0x02000003
[FPGA2] TX #0.4  data=0x02000004
[FPGA2] TX #0.5  data=0x02000005
[FPGA2] TX #0.6  data=0x02000006
[FPGA2] TX #0.7  data=0x02000007
[FPGA2] RX #1      data=0x01000000 (len=4 B)
[FPGA2] RX #1      data=0x01000001 (len=4 B)
[FPGA2] RX #1      data=0x01000002 (len=4 B)
[FPGA2] RX #1      data=0x01000003 (len=4 B)
[FPGA2] RX #1      data=0x01000004 (len=4 B)
[FPGA2] TX #1.0  data=0x02000000
[FPGA2] TX #1.1  data=0x02000001
[FPGA2] TX #1.2  data=0x02000002
[FPGA2] RX #1      data=0x01000005 (len=4 B)
[FPGA2] TX #1.3  data=0x02000003
[FPGA2] RX #1      data=0x01000006 (len=4 B)
[FPGA2] TX #1.4  data=0x02000004
[FPGA2] RX #1      data=0x01000007 (len=4 B)
[FPGA2] TX #1.5  data=0x02000005
[FPGA2] TX #1.6  data=0x02000006
[FPGA2] TX #1.7  data=0x02000007
[FPGA2] RX #2      data=0x01000000 (len=4 B)
[FPGA2] RX #2      data=0x01000001 (len=4 B)
[FPGA2] RX #2      data=0x01000002 (len=4 B)
[FPGA2] TX #2.0  data=0x02000000
[FPGA2] TX #2.1  data=0x02000001
[FPGA2] TX #2.2  data=0x02000002
[FPGA2] RX #2      data=0x01000003 (len=4 B)
[FPGA2] TX #2.3  data=0x02000003
[FPGA2] RX #2      data=0x01000004 (len=4 B)
[FPGA2] TX #2.4  data=0x02000004
[FPGA2] RX #2      data=0x01000005 (len=4 B)
[FPGA2] TX #2.5  data=0x02000005
[FPGA2] RX #2      data=0x01000006 (len=4 B)
[FPGA2] TX #2.6  data=0x02000006
[FPGA2] RX #2      data=0x01000007 (len=4 B)
[FPGA2] TX #2.7  data=0x02000007
[FPGA2] RX #3      data=0x01000000 (len=4 B)
[FPGA2] RX #3      data=0x01000001 (len=4 B)
[FPGA2] RX #3      data=0x01000002 (len=4 B)
[FPGA2] RX #3      data=0x01000003 (len=4 B)
[FPGA2] RX #3      data=0x01000004 (len=4 B)
[FPGA2] RX #3      data=0x01000005 (len=4 B)
[FPGA2] TX #3.0  data=0x02000000
[FPGA2] TX #3.1  data=0x02000001
[FPGA2] TX #3.2  data=0x02000002
[FPGA2] RX #3      data=0x01000006 (len=4 B)
[FPGA2] TX #3.3  data=0x02000003
[FPGA2] RX #3      data=0x01000007 (len=4 B)
[FPGA2] TX #3.4  data=0x02000004
[FPGA2] TX #3.5  data=0x02000005
[FPGA2] TX #3.6  data=0x02000006
[FPGA2] TX #3.7  data=0x02000007
[FPGA2] RX #4      data=0x01000000 (len=4 B)
[FPGA2] RX #4      data=0x01000001 (len=4 B)
[FPGA2] RX #4      data=0x01000002 (len=4 B)
[FPGA2] RX #4      data=0x01000003 (len=4 B)
[FPGA2] RX #4      data=0x01000004 (len=4 B)
[FPGA2] TX #4.0  data=0x02000000
[FPGA2] TX #4.1  data=0x02000001
[FPGA2] TX #4.2  data=0x02000002
[FPGA2] TX #4.3  data=0x02000003
[FPGA2] RX #4      data=0x01000005 (len=4 B)
[FPGA2] TX #4.4  data=0x02000004
[FPGA2] RX #4      data=0x01000006 (len=4 B)
[FPGA2] TX #4.5  data=0x02000005
[FPGA2] RX #4      data=0x01000007 (len=4 B)
[FPGA2] TX #4.6  data=0x02000006
[FPGA2] TX #4.7  data=0x02000007
[FPGA2] RX #5      data=0x01000000 (len=4 B)
[FPGA2] RX #5      data=0x01000001 (len=4 B)
[FPGA2] RX #5      data=0x01000002 (len=4 B)
[FPGA2] RX #5      data=0x01000003 (len=4 B)
[FPGA2] TX #5.0  data=0x02000000
[FPGA2] TX #5.1  data=0x02000001
[FPGA2] TX #5.2  data=0x02000002
[FPGA2] TX #5.3  data=0x02000003
[FPGA2] RX #5      data=0x01000004 (len=4 B)
[FPGA2] TX #5.4  data=0x02000004
[FPGA2] RX #5      data=0x01000005 (len=4 B)
[FPGA2] TX #5.5  data=0x02000005
[FPGA2] RX #5      data=0x01000006 (len=4 B)
[FPGA2] TX #5.6  data=0x02000006
[FPGA2] RX #5      data=0x01000007 (len=4 B)
[FPGA2] TX #5.7  data=0x02000007
[FPGA2] RX #6      data=0x01000000 (len=4 B)
[FPGA2] RX #6      data=0x01000001 (len=4 B)
[FPGA2] RX #6      data=0x01000002 (len=4 B)
[FPGA2] RX #6      data=0x01000003 (len=4 B)
[FPGA2] RX #6      data=0x01000004 (len=4 B)
[FPGA2] RX #6      data=0x01000005 (len=4 B)
[FPGA2] RX #6      data=0x01000006 (len=4 B)
[FPGA2] TX #6.0  data=0x02000000
[FPGA2] TX #6.1  data=0x02000001
[FPGA2] TX #6.2  data=0x02000002
[FPGA2] TX #6.3  data=0x02000003
[FPGA2] RX #6      data=0x01000007 (len=4 B)
[FPGA2] TX #6.4  data=0x02000004
[FPGA2] TX #6.5  data=0x02000005
[FPGA2] TX #6.6  data=0x02000006
[FPGA2] TX #6.7  data=0x02000007
[FPGA2] RX #7      data=0x01000000 (len=4 B)
[FPGA2] RX #7      data=0x01000001 (len=4 B)
[FPGA2] RX #7      data=0x01000002 (len=4 B)
[FPGA2] RX #7      data=0x01000003 (len=4 B)
[FPGA2] RX #7      data=0x01000004 (len=4 B)
[FPGA2] TX #7.0  data=0x02000000
[FPGA2] TX #7.1  data=0x02000001
[FPGA2] TX #7.2  data=0x02000002
[FPGA2] RX #7      data=0x01000005 (len=4 B)
[FPGA2] TX #7.3  data=0x02000003
[FPGA2] RX #7      data=0x01000006 (len=4 B)
[FPGA2] TX #7.4  data=0x02000004
[FPGA2] RX #7      data=0x01000007 (len=4 B)
[FPGA2] TX #7.5  data=0x02000005
[FPGA2] TX #7.6  data=0x02000006
[FPGA2] TX #7.7  data=0x02000007
[FPGA2] RX #8      data=0x01000000 (len=4 B)
[FPGA2] RX #8      data=0x01000001 (len=4 B)
[FPGA2] RX #8      data=0x01000002 (len=4 B)
[FPGA2] RX #8      data=0x01000003 (len=4 B)
[FPGA2] RX #8      data=0x01000004 (len=4 B)
[FPGA2] RX #8      data=0x01000005 (len=4 B)
[FPGA2] RX #8      data=0x01000006 (len=4 B)
[FPGA2] TX #8.0  data=0x02000000
[FPGA2] TX #8.1  data=0x02000001
[FPGA2] TX #8.2  data=0x02000002
[FPGA2] TX #8.3  data=0x02000003
[FPGA2] RX #8      data=0x01000007 (len=4 B)
[FPGA2] TX #8.4  data=0x02000004
[FPGA2] TX #8.5  data=0x02000005
[FPGA2] TX #8.6  data=0x02000006
[FPGA2] TX #8.7  data=0x02000007
[FPGA2] RX #9      data=0x01000000 (len=4 B)
[FPGA2] RX #9      data=0x01000001 (len=4 B)
[FPGA2] RX #9      data=0x01000002 (len=4 B)
[FPGA2] RX #9      data=0x01000003 (len=4 B)
[FPGA2] RX #9      data=0x01000004 (len=4 B)
[FPGA2] RX #9      data=0x01000005 (len=4 B)
[FPGA2] TX #9.0  data=0x02000000
[FPGA2] TX #9.1  data=0x02000001
[FPGA2] TX #9.2  data=0x02000002
[FPGA2] TX #9.3  data=0x02000003
[FPGA2] RX #9      data=0x01000006 (len=4 B)
[FPGA2] TX #9.4  data=0x02000004
[FPGA2] RX #9      data=0x01000007 (len=4 B)
[FPGA2] TX #9.5  data=0x02000005
[FPGA2] TX #9.6  data=0x02000006
[FPGA2] RX #9      data=0x01000000 (len=4 B)
[FPGA2] TX #9.7  data=0x02000007
[FPGA2] RX #10      data=0x01000001 (len=4 B)
[FPGA2] RX #10      data=0x01000002 (len=4 B)
[FPGA2] RX #10      data=0x01000003 (len=4 B)
[FPGA2] RX #10      data=0x01000004 (len=4 B)
